town,county,total_enrollment,weighted_frpl_rate,county_median_income,low_confidence_flag,PC1,PC2,PC3,PC4,PC5,hardship_score
Plainfield,Washington,414.0,33.09,77278,0,-0.48527461266909244,1.9469300412103505,-0.7431492251761159,4.945598560273058,2.4464397978657275,-0.565
Poultney,Rutland,500.0,34.6,62641,0,0.8859339316998445,0.9207406283098615,-1.3955519360118698,0.1388123642996182,0.41942811548290254,1.146
Pownal,Bennington,271.0,59.04,68558,0,4.62085365587802,-0.015116283987875019,0.5084635453673534,-0.11766315892378218,-1.1527555555810707,2.115
Proctor,Rutland,280.0,37.5,62641,0,1.4031869527271237,1.9681031659461068,-1.7366049141468558,0.6292501195093612,2.49332581037821,1.339
Proctorsville,Windsor,84.0,38.1,69492,0,0.9647802005017828,-0.9765876558814489,1.1961592765809148,-0.22817935395835937,0.7833471443527716,0.625
Putney,Windham,182.0,39.56,65473,0,1.9538165683555246,-0.9184171601221732,-1.1180561037077774,-0.522851177204662,-0.7433923237159998,1.163
Quechee,Windsor,203.0,18.72,69492,0,-2.0480667685371596,-1.4244607479702984,-0.13819040806206487,-0.15829322593928344,0.7833922224610571,-0.66
Randolph,Orange,701.0,28.1,74534,0,-1.1778969948153086,1.0274290154010879,0.17771197178407286,0.5524705077847234,0.29541048233565864,-0.593
Reading,Windsor,34.0,11.76,69492,1,-3.001597240870133,-2.0010827904194635,-0.5692035530929526,-0.6549519489538137,1.3147744686179537,-1.122
Readsboro,Bennington,39.0,33.33,68558,1,0.9248462024195833,-1.399615986698095,-1.0348178591938817,-0.878282733084817,-0.09037558566603267,0.41
Richford,Franklin,639.0,59.0,73633,0,3.6048921785627734,2.9503645519026604,1.2335156080252359,-0.28604835927162076,-0.17928314119251712,1.554
Richmond,Chittenden,677.0,9.75,89494,0,-5.3016031977084115,0.33701121732091693,0.7436416412120231,-0.5635643005163256,-1.4844865601071477,-3.457
Ripton,Addison,46.0,23.91,85870,1,-2.3731162638748704,-1.244954228810537,2.410340677018861,-0.16298032189693865,0.9636668036765264,-2.119
Rochester,Windsor,84.0,45.24,69492,0,2.0667034318496125,-0.7329732896626348,1.7186948869203618,-0.11400748465059486,0.698286974704593,1.098
Roxbury,Washington,51.0,33.33,77278,0,-0.1639386275871811,-1.08357853462238,1.0956962283080822,-0.4525761061910873,0.2626256707592201,-0.549
Rutland,Rutland,1959.0,43.8,62641,0,1.580101155841281,7.255424755462542,-2.1280358719345287,-0.5200427315915387,0.9884869857302466,1.757
Rutland Town,Rutland,360.0,11.39,62641,0,-2.529488275911929,-1.535937998665368,-2.5117403411202024,-0.23737206430552146,-0.16251725515649196,-0.392
Saint Albans,Franklin,3029.0,28.72,73633,0,-1.17617615496902,8.946275380589235,-2.7295595480667045,2.4164654350751595,3.6227815991544166,-0.453
