town,county,total_enrollment,weighted_frpl_rate,county_median_income,low_confidence_flag,PC1,PC2,PC3,PC4,PC5,hardship_score
Craftsbury Common,Orleans,207.0,13.04,63981,0,-1.9508070351632787,-2.5707103136182377,-2.712593641254699,3.688136156085206,-0.41955219856462894,-0.431
Cuttingsville,Rutland,74.0,35.14,62641,0,1.3688529133715046,-1.3079084097173799,-0.5866327488064434,-0.4685623945496553,0.3450391889778783,1.182
Danby,Rutland,76.0,48.68,62641,0,3.1756071925142404,-0.7391912894688558,-0.18815399581327671,-0.7042342001093337,-0.17694942402334257,2.08
Danville,Caledonia,350.0,23.43,62964,0,-0.24668127682401847,-1.9570597105574363,-2.755949718187908,4.01823172377967,-1.4593878674032252,0.37
Derby,Orleans,263.0,62.74,63981,0,5.242418368141879,0.3334871288794067,0.9837699992394795,0.0027332627711215227,-1.1603794166554515,2.864
Derby Line,Orleans,496.0,46.77,63981,0,2.9116474486803496,-0.10284963872990444,-0.006463440506427487,0.5786078987068474,-0.7863123660743612,1.805
Dorset,Bennington,168.0,26.79,68558,0,-0.09824865494637275,-1.3910340403193768,-1.412219339456896,-0.5650464317384293,-0.2589494412440549,-0.023
Duxbury,Washington,288.0,14.24,77278,0,-3.3241391241881844,-0.9929065364746008,-0.16123958738275915,-0.1036810400653978,-0.6194352263468487,-1.815
East Barre,Washington,77.0,35.06,77278,0,-0.1245606541400381,-0.6431464981473834,1.107119080116646,-0.5257420023808872,-0.52130985314971,-0.434
East Corinth,Orange,263.0,38.02,74534,0,0.5414486949857058,-0.5391066870352844,1.2038061586206263,0.08166444737356145,-0.1101068575716659,0.064
East Dover,Windham,90.0,23.33,65473,0,-0.4869960543394673,-1.6609437801467255,-2.2546357841833196,-0.9833512322960866,-0.297782356102815,0.087
East Dummerston,Windham,162.0,14.81,65473,0,-1.7677022461600789,-1.8378660000306135,-2.7327758395553516,-0.8176813878145798,-0.2803524910798453,-0.478
East Montpelier,Washington,231.0,13.42,77278,0,-3.2621833070117274,-1.4403795139411584,-0.22507338426832152,-0.19041535650635194,0.1547379257007961,-1.869
Eden,Lamoille,127.0,50.39,69886,0,2.645875304266459,-0.40883174734747024,1.9349946373374447,-0.1141230089990442,0.39723015983081866,1.395
Enosburg Falls,Franklin,612.0,48.04,73633,0,2.124938601071111,1.25100682982886,0.9724093617270185,0.36406547907896436,-0.6617161412557518,0.828
Essex Junction,Chittenden,3541.0,16.38,89494,0,-5.525495494759474,8.945322258277846,0.1053562826098904,-2.910943673879733,-2.8826042801823157,-3.018
Fair Haven,Rutland,800.0,30.5,62641,0,0.27436199171487197,2.0787274241359674,-2.060201825217365,0.9927532769274288,1.3027428330804525,0.875
Fairfax,Franklin,1039.0,14.92,73633,0,-3.055460250715031,0.5656689312764083,-1.2872942145261042,0.507232975693072,-0.830514965778188,-1.368
Fairfield,Franklin,252.0,17.86,73633,0,-2.207880580769736,-1.3450754794132092,-0.7103234361665325,-0.2330815350044444,-0.08374014244680664,-1.173
Fairlee,Orange,116.0,25.86,74534,0,-1.1352200903241736,-1.2828740012269533,0.5795138349323549,-0.29582580321675356,0.5430164517660322,-0.742
Fayston,Washington,99.0,10.1,77278,0,-3.692177742002481,-1.814639869073307,-0.4309063410096936,-0.5628303437474564,0.5304361765388786,-2.089
Ferrisburgh,Addison,244.0,15.57,85870,0,-3.78770826661552,-1.136804635294292,1.7367716303483138,0.17688053683963567,0.5543309792856329,-2.672
Franklin,Franklin,140.0,42.86,73633,0,1.7006984853998794,-0.702684635899835,1.1000351479518145,-0.14511971268238358,-0.1291078006320138,0.484
Gilman,Essex,60.0,55.0,55247,0,5.240738840563633,-0.8431931081012475,-2.0621276770967465,-1.1240429966951533,-0.8528721947580706,3.312
Glover,Orleans,107.0,42.06,63981,0,2.6285130078915415,-1.103465309625106,0.17389835619392544,-0.11795942781732777,0.5085530711884682,1.493
Grafton,Windham,46.0,45.65,65473,1,2.9941909210694453,-0.9836626231048374,-0.6054423787509569,-0.7330173701253099,-0.45331731431399697,1.567
Grand Isle,Grand Isle,140.0,22.86,86639,0,-2.6776448489202216,-1.0687911746632983,2.1169719107512965,-0.10279090625924434,0.5907455887690171,-2.274
Greensboro,Orleans,41.0,24.39,63981,1,-0.2503963862638207,-1.772910087498274,-1.4896260000211956,-0.8575060548885362,0.6575321109232662,0.322
Guilford,Windham,141.0,22.7,65473,0,-0.5947727473848494,-1.5884025550966872,-2.272732041674562,-0.8378176531266327,-0.39534346735461795,0.045
Hardwick,Caledonia,542.0,31.18,62964,0,0.6012919454069772,0.5525844972199078,-2.329867196021691,-0.20831574726168567,-0.2787161038915719,0.884
Hartland,Windsor,281.0,31.32,69492,0,-0.11220214275526914,-0.8523266214325383,0.8393078688329181,0.2903953735982107,0.4794917687197921,0.175
Highgate Center,Franklin,273.0,31.87,73633,0,-0.07296793215540623,-0.8189310505658969,0.2757728824926451,0.015343696692539124,-0.3250404377644294,-0.245
Hinesburg,Chittenden,1831.0,16.6,89494,0,-4.62834382837995,2.803151404239736,0.34181557717655103,1.9003011823170732,-1.8271791101983772,-3.003
Huntington,Chittenden,116.0,12.93,89494,0,-4.326969780009068,-1.371004048607132,1.198952555357443,-0.3077848420092986,-0.10421441227987858,-3.246
Hyde Park,Lamoille,939.0,31.63,69886,0,-0.7149252421697406,2.4496653511373583,0.2770249253320665,-0.09238258703558092,0.049087718724740194,0.152
Irasburg,Orleans,121.0,53.72,63981,0,4.16994477809233,-0.5904275396263498,0.5081911072770222,-0.29376274334488744,0.026738393059647883,2.266
Island Pond,Essex,135.0,62.22,55247,0,6.378035185142563,-0.4722373777844314,-1.41297235221116,-0.7183873493486062,-1.0457159801482134,3.791
Jamaica,Windham,26.0,30.77,65473,1,0.6587182886560746,-1.5157417128309179,-1.787740096792741,-1.0940627714670537,-0.2822877439409306,0.581
Jay,Orleans,80.0,42.5,63981,0,2.587560142924657,-1.0989153636066826,-0.042821051442592996,-0.37296625692837765,0.4197952193694044,1.522
Jeffersonville,Chittenden,336.0,21.13,89494,0,-3.3167840041609704,-0.6137554182278779,1.4908675176159674,0.1655769318919239,-0.9098109178903232,-2.703
Jericho,Chittenden,1534.0,6.06,89494,0,-6.27021871857876,2.407777352434063,-0.002517664202434697,0.04603185943774743,-1.7389937064927858,-3.702
Johnson,Lamoille,217.0,49.31,69886,0,2.4355989224488366,-0.2726718772214339,1.8577282189763031,0.10746274692743239,0.19745671955661293,1.324
