town,county,cluster,cluster_name,weighted_frpl_rate,total_enrollment,county_median_income,anomaly,anomaly_score,PC1,PC2
Windsor,Windsor,3,Moderate - Mixed Profile,33.28,580.0,69492,1,-0.019215468128699897,-0.0482316346995179,-0.8560680418024218
Wells River,Orange,3,Moderate - Mixed Profile,44.53,411.0,74534,1,-0.01675765803068663,1.4873567855631795,-0.7164213780406851
Jericho,Chittenden,5,Low Hardship - Affluent Areas,6.06,1534.0,89494,1,-0.014243839659804802,-6.27021871857876,2.407777352434063
Colchester,Chittenden,4,Lower Hardship - Urban Centers,23.45,2414.0,89494,1,-0.003199389851718748,-4.022043242402372,5.910249515325475
West Rutland,Rutland,2,Elevated Hardship - Small Towns,30.98,326.0,62641,1,-0.0026191497586991463,0.5318545379738139,-1.6185865181621393
Rutland,Rutland,4,Lower Hardship - Urban Centers,43.8,1959.0,62641,0,0.0,1.580101155841281,7.255424755462542
Hinesburg,Chittenden,5,Low Hardship - Affluent Areas,16.6,1831.0,89494,0,0.00014058386145099355,-4.62834382837995,2.803151404239736
Winooski,Chittenden,3,Moderate - Mixed Profile,60.1,787.0,89494,0,0.0019160449623820686,2.058835969667613,4.325986797437853
Cabot,Washington,3,Moderate - Mixed Profile,42.07,164.0,77278,0,0.008052750544975784,1.1970558357871235,-1.2687273440890188
Charlotte,Chittenden,5,Low Hardship - Affluent Areas,3.96,707.0,89494,0,0.012209355146875711,-6.146098910745606,-0.485092835415825
Saint Johnsbury,Caledonia,1,High Hardship - Rural Poor,52.42,702.0,62964,0,0.016460710895838893,3.6942644379615888,0.5240202799688249
North Troy,Orleans,1,High Hardship - Rural Poor,75.4,187.0,63981,0,0.017964596664691634,7.344300838978093,0.3296855762823582
Barre,Washington,4,Lower Hardship - Urban Centers,26.38,2199.0,77278,0,0.020351875257412222,-2.085910230811466,5.0149211235598745
Gilman,Essex,1,High Hardship - Rural Poor,55.0,60.0,55247,0,0.026306347889767268,5.240738840563633,-0.8431931081012475
Proctor,Rutland,2,Elevated Hardship - Small Towns,37.5,280.0,62641,0,0.02924506546833261,1.4031869527271237,1.9681031659461068
Island Pond,Essex,1,High Hardship - Rural Poor,62.22,135.0,55247,0,0.04422628661200745,6.378035185142563,-0.4722373777844314
Shelburne,Chittenden,5,Low Hardship - Affluent Areas,13.72,736.0,89494,0,0.04485667587238901,-4.71871197393754,-0.0735029038075201
Montpelier,Washington,4,Lower Hardship - Urban Centers,20.11,1885.0,77278,0,0.045620117319836784,-3.2190362879458134,4.42034500360214
Bethel,Windsor,3,Moderate - Mixed Profile,49.44,269.0,69492,0,0.04839292294759023,2.3518602931552657,2.6382646439487947
Richmond,Chittenden,5,Low Hardship - Affluent Areas,9.75,677.0,89494,0,0.049997711479979556,-5.3016031977084115,0.3370112173209169
Bellows Falls,Windham,1,High Hardship - Rural Poor,52.65,754.0,65473,0,0.058296550610804465,3.3968008180292695,2.642482534617802
Swanton,Franklin,3,Moderate - Mixed Profile,38.07,1400.0,73633,0,0.058527618103969004,0.3144803384189081,1.9593656880901489
Milton,Chittenden,4,Lower Hardship - Urban Centers,25.98,1459.0,89494,0,0.058550118529259676,-3.3121648606458263,3.418821188082285
Concord,Essex,1,High Hardship - Rural Poor,50.0,156.0,55247,0,0.06045407654678492,4.435455425924663,-0.8338559533526884
Middlebury,Addison,4,Lower Hardship - Urban Centers,21.26,1430.0,85870,0,0.06047267085568114,-3.7923827625057074,4.039475967303581
White River Junction,Windsor,4,Lower Hardship - Urban Centers,29.78,1256.0,69492,0,0.06275638565474612,-0.9789159370288166,4.674693136161638
Windham,Windham,2,Elevated Hardship - Small Towns,13.64,22.0,65473,0,0.06439723277692089,-1.8682548876804752,-2.1528756143274763
Fair Haven,Rutland,2,Elevated Hardship - Small Towns,30.5,800.0,62641,0,0.07167137456353084,0.2743619917148719,2.078727424135967
Bristol,Addison,5,Low Hardship - Affluent Areas,20.45,1032.0,85870,0,0.07306753431573215,-3.490593233575536,1.0837083652682686
Lowell,Orleans,1,High Hardship - Rural Poor,68.6,86.0,63981,0,0.07372324566414346,6.502226919848069,-0.1536988819557957
North Hero,Grand Isle,3,Moderate - Mixed Profile,54.0,50.0,86639,0,0.07644055995169263,2.148185367663551,-0.1674001069768378
Underhill Center,Chittenden,5,Low Hardship - Affluent Areas,8.0,200.0,89494,0,0.07674079191703864,-5.196242901165747,-1.353580530744539
Derby,Orleans,1,High Hardship - Rural Poor,62.74,263.0,63981,0,0.07712542513674603,5.242418368141879,0.3334871288794067
Richford,Franklin,1,High Hardship - Rural Poor,59.0,639.0,73633,0,0.08575619695031367,3.6048921785627734,2.9503645519026604
Morrisville,Lamoille,4,Lower Hardship - Urban Centers,28.05,795.0,69886,0,0.08617023168450527,-1.2422495269499247,3.0106453421474058
Brandon,Rutland,2,Elevated Hardship - Small Towns,41.2,966.0,62641,0,0.08834091130131067,1.525220685731932,2.5171088492450813
Springfield,Windsor,4,Lower Hardship - Urban Centers,50.53,1219.0,69492,0,0.0883749909456632,1.997190370476854,4.4190809066877526
Salisbury,Addison,3,Moderate - Mixed Profile,47.69,65.0,85870,0,0.0899998225150554,1.2036785444829337,-0.3632603087734606
Wallingford,Rutland,1,High Hardship - Rural Poor,66.39,122.0,62641,0,0.09043485616425079,5.933457995467507,-0.0601865327280839
Benson,Rutland,2,Elevated Hardship - Small Towns,10.67,75.0,62641,0,0.09195617666751693,-2.4300775113299644,-2.1352717465787494
Vergennes,Addison,3,Moderate - Mixed Profile,30.65,695.0,85870,0,0.09216207478204486,-1.7848463800286285,1.0594718972234234
