town,county,cluster,cluster_name,weighted_frpl_rate,total_enrollment,county_median_income,hardship_score,PC1,PC2,PC3,PC4,PC5
Albany,Orleans,1,High Hardship - Rural Poor,57.58,99.0,63981,2.522,4.890662375935646,-0.5395718960998024,1.0222569425547985,-0.1126965327105935,0.1701919910880753
Barton,Orleans,1,High Hardship - Rural Poor,57.41,162.0,63981,2.511,4.655967657623328,-0.3622349064490273,0.6447067769127004,-0.2297946631220382,-0.1949534918468144
Tinmouth,Rutland,1,High Hardship - Rural Poor,54.29,70.0,62641,2.452,4.210705695166889,-0.6172031637161605,0.5644901956670675,-0.3674578815097389,-0.025700132091798
West Charleston,Orleans,1,High Hardship - Rural Poor,56.41,117.0,63981,2.445,4.648403562850235,-0.5269327057042734,0.8290434289059997,-0.1663226655041186,0.0776318763302434
Saint Johnsbury,Caledonia,1,High Hardship - Rural Poor,52.42,702.0,62964,2.292,3.6942644379615888,0.5240202799688249,-0.7192682656420237,0.7520588634179034,-2.1103642577210797
Irasburg,Orleans,1,High Hardship - Rural Poor,53.72,121.0,63981,2.266,4.16994477809233,-0.5904275396263498,0.5081911072770222,-0.2937627433448874,0.0267383930596478
Pownal,Bennington,1,High Hardship - Rural Poor,59.04,271.0,68558,2.115,4.62085365587802,-0.015116283987875,0.5084635453673534,-0.1176631589237821,-1.152755555581071
Danby,Rutland,1,High Hardship - Rural Poor,48.68,76.0,62641,2.08,3.1756071925142404,-0.7391912894688558,-0.1881539958132767,-0.7042342001093337,-0.1769494240233425
Bellows Falls,Windham,1,High Hardship - Rural Poor,52.65,754.0,65473,2.031,3.3968008180292695,2.642482534617802,-0.7346171042440165,-0.6362564055583629,-1.5171173684100432
Orleans,Orleans,1,High Hardship - Rural Poor,47.78,517.0,63981,1.872,3.269042420520147,3.345582048675938,-1.2162527955988207,1.526160163751758,3.2556351382052258
West Halifax,Windham,1,High Hardship - Rural Poor,50.0,62.0,65473,1.856,3.8575903332895383,-0.8747455338037975,0.1259020445485776,-0.3034754166786735,-0.2965851289857459
Derby Line,Orleans,1,High Hardship - Rural Poor,46.77,496.0,63981,1.805,2.9116474486803496,-0.1028496387299044,-0.0064634405064274,0.5786078987068474,-0.7863123660743612
Lyndonville,Caledonia,1,High Hardship - Rural Poor,44.91,501.0,62964,1.794,2.6270568729495016,-0.1188896553691899,-1.2789451667772365,0.0949652913175175,-1.5481276555346568
Sheffield,Caledonia,1,High Hardship - Rural Poor,44.85,136.0,62964,1.79,2.8766403832917025,-0.8519104688348523,-1.1205730675642378,-0.743523593910485,-0.5830852075592268
West Pawlet,Rutland,1,High Hardship - Rural Poor,43.48,138.0,62641,1.735,2.458666106459424,-0.8385824459881082,-0.3269698663718656,-0.4376497927428069,-0.1176881648974685
Saxtons River,Windham,1,High Hardship - Rural Poor,47.37,76.0,65473,1.681,3.1461304007738495,-0.8327631925257911,-0.6828256251246861,-0.7825961043216961,-0.6661902226235589
Sutton,Caledonia,1,High Hardship - Rural Poor,42.48,113.0,62964,1.633,2.55441222274221,-0.9897838205931184,-1.2240265090663038,-0.7875774696380189,-0.457523704028859
Grafton,Windham,1,High Hardship - Rural Poor,45.65,46.0,65473,1.567,2.9941909210694453,-0.9836626231048374,-0.6054423787509569,-0.7330173701253099,-0.4533173143139969
Richford,Franklin,1,High Hardship - Rural Poor,59.0,639.0,73633,1.554,3.6048921785627734,2.9503645519026604,1.233515608025236,-0.2860483592716207,-0.1792831411925171
Jay,Orleans,1,High Hardship - Rural Poor,42.5,80.0,63981,1.522,2.587560142924657,-1.0989153636066826,-0.0428210514425929,-0.3729662569283776,0.4197952193694044
Glover,Orleans,1,High Hardship - Rural Poor,42.06,107.0,63981,1.493,2.6285130078915415,-1.103465309625106,0.1738983561939254,-0.1179594278173277,0.5085530711884682
Wilmington,Windham,1,High Hardship - Rural Poor,43.09,181.0,65473,1.397,2.482671660998596,-0.7942337045609085,-0.8934559901384852,-0.4949407600626621,-0.8031439307661661
Manchester Center,Bennington,1,High Hardship - Rural Poor,41.33,392.0,68558,0.941,1.9381215423773144,-0.426811010525539,-0.5550410438314289,0.0980291336580291,-1.0893361593923403
Alburg,Grand Isle,1,High Hardship - Rural Poor,67.53,194.0,86639,0.688,4.074744180812517,0.6053025149266745,5.133746479027042,0.5574218076567714,-0.2235816862375429
Canaan,Essex,2,Elevated Hardship - Small Towns,31.36,169.0,55247,1.745,1.881368144075775,-2.243144938640216,-3.7531548836003505,3.406238513009426,-1.3911266410236152
Brandon,Rutland,2,Elevated Hardship - Small Towns,41.2,966.0,62641,1.584,1.525220685731932,2.5171088492450813,-1.7135852936109142,0.9215898198779096,0.4258108669668739
Barnet,Caledonia,2,Elevated Hardship - Small Towns,39.26,135.0,62964,1.419,2.2203852530611807,-1.117921229253287,-1.1014340780207978,-0.5057372456791329,-0.2580096419429663
Wells,Rutland,2,Elevated Hardship - Small Towns,38.1,84.0,62641,1.379,1.6740044247852182,-1.134493062674941,-0.6774980247232193,-0.632056833339272,0.1015941443144389
Proctor,Rutland,2,Elevated Hardship - Small Towns,37.5,280.0,62641,1.339,1.4031869527271237,1.9681031659461068,-1.7366049141468558,0.6292501195093612,2.49332581037821
Walden,Caledonia,2,Elevated Hardship - Small Towns,37.84,74.0,62964,1.325,1.9399051343855744,-1.2547217281121297,-1.386852144554206,-0.8275241366149656,-0.2025377520113037
Middletown Springs,Rutland,2,Elevated Hardship - Small Towns,36.99,73.0,62641,1.305,1.5118529618807504,-1.1947848489642114,-0.7510910296672622,-0.6730332646304974,0.1453877756989622
Pittsford,Rutland,2,Elevated Hardship - Small Towns,35.56,180.0,62641,1.21,1.1484624042077225,-1.0049300945222,-1.0436264270945983,-0.5586403993856638,-0.2045069692952821
Cuttingsville,Rutland,2,Elevated Hardship - Small Towns,35.14,74.0,62641,1.182,1.3688529133715046,-1.30790840971738,-0.5866327488064434,-0.4685623945496553,0.3450391889778783
Putney,Windham,2,Elevated Hardship - Small Towns,39.56,182.0,65473,1.163,1.9538165683555249,-0.9184171601221732,-1.1180561037077774,-0.522851177204662,-0.7433923237159998
Poultney,Rutland,2,Elevated Hardship - Small Towns,34.6,500.0,62641,1.146,0.8859339316998445,0.9207406283098616,-1.3955519360118698,0.1388123642996182,0.4194281154829025
Whitingham,Windham,2,Elevated Hardship - Small Towns,38.34,193.0,65473,1.082,1.7619651995832808,-0.729495044588876,-1.240733308292666,0.2887240005278189,-0.6231393087697934
Castleton,Rutland,2,Elevated Hardship - Small Towns,33.47,251.0,62641,1.072,0.9085435241027738,-0.9807182141683256,-0.9538105670038596,-0.2180402398150535,-0.2034262062841165
North Clarendon,Rutland,2,Elevated Hardship - Small Towns,33.08,532.0,62641,1.046,0.7267313567259441,1.5295114877996103,-1.7671748009443655,0.4580592275696604,1.1727671748451445
West Rutland,Rutland,2,Elevated Hardship - Small Towns,30.98,326.0,62641,0.906,0.5318545379738139,-1.6185865181621393,-1.716002750933824,4.084040843809114,-1.2830154923972676
Hardwick,Caledonia,2,Elevated Hardship - Small Towns,31.18,542.0,62964,0.884,0.6012919454069772,0.5525844972199078,-2.329867196021691,-0.2083157472616856,-0.2787161038915719
Fair Haven,Rutland,2,Elevated Hardship - Small Towns,30.5,800.0,62641,0.875,0.2743619917148719,2.078727424135967,-2.060201825217365,0.9927532769274288,1.3027428330804525
Mount Holly,Rutland,2,Elevated Hardship - Small Towns,29.52,105.0,62641,0.81,0.3625048059534281,-1.396569744133892,-1.2533631386419384,-0.6730710792355505,0.1859955939177808
Vernon,Windham,2,Elevated Hardship - Small Towns,31.89,185.0,65473,0.655,0.7408789130231945,-1.16655000700886,-1.7317865873007987,-0.6769483250835584,-0.6891401374429921
Shaftsbury,Bennington,2,Elevated Hardship - Small Towns,36.73,245.0,68558,0.636,1.348870384446916,-0.8851505626251188,-0.789037997722871,-0.2837415471565995,-0.6232813472436257
Marlboro,Windham,2,Elevated Hardship - Small Towns,31.46,89.0,65473,0.626,0.8115184040224026,-1.3974081680641002,-1.5785953764766625,-0.7951765766204462,-0.3459768539300005
Jamaica,Windham,2,Elevated Hardship - Small Towns,30.77,26.0,65473,0.581,0.6587182886560746,-1.515741712830918,-1.787740096792741,-1.0940627714670537,-0.2822877439409306
West Burke,Caledonia,2,Elevated Hardship - Small Towns,24.87,189.0,62964,0.465,-0.1090203322404263,-1.4785706742394649,-2.317277357859612,-0.7174379817963035,-0.3104273407653276
Arlington,Bennington,2,Elevated Hardship - Small Towns,33.95,489.0,68558,0.451,0.7070807611781705,1.201209013699147,-1.292359017667736,-0.928457673762608,-0.27588258163783
Newark,Caledonia,2,Elevated Hardship - Small Towns,24.64,69.0,62964,0.45,-0.0401314641274992,-1.735863733407261,-2.234927569872862,-0.9601928351534162,0.0381452966977454
Wardsboro,Windham,2,Elevated Hardship - Small Towns,28.57,49.0,65473,0.435,0.4915696188020693,-1.6110534559479843,-1.5690547824684649,-0.7765388145759486,-0.0841774637275615
Readsboro,Bennington,2,Elevated Hardship - Small Towns,33.33,39.0,68558,0.41,0.9248462024195832,-1.399615986698095,-1.0348178591938817,-0.878282733084817,-0.0903755856660326
Danville,Caledonia,2,Elevated Hardship - Small Towns,23.43,350.0,62964,0.37,-0.2466812768240184,-1.9570597105574363,-2.755949718187908,4.01823172377967,-1.4593878674032252
Greensboro,Orleans,2,Elevated Hardship - Small Towns,24.39,41.0,63981,0.322,-0.2503963862638207,-1.772910087498274,-1.4896260000211956,-0.8575060548885362,0.6575321109232662
Londonderry,Windham,2,Elevated Hardship - Small Towns,26.62,308.0,65473,0.305,-0.0403990134090978,-1.1429037639454342,-1.923172583440686,-0.2869688600965112,-0.8021449759133041
Newfane,Windham,2,Elevated Hardship - Small Towns,25.74,101.0,65473,0.247,-0.069362888736116,-1.5751619113182704,-1.9735763748381316,-0.8353999642776765,-0.2903340008231163
East Dover,Windham,2,Elevated Hardship - Small Towns,23.33,90.0,65473,0.087,-0.4869960543394673,-1.6609437801467255,-2.2546357841833196,-0.9833512322960866,-0.297782356102815
Guilford,Windham,2,Elevated Hardship - Small Towns,22.7,141.0,65473,0.045,-0.5947727473848494,-1.5884025550966872,-2.272732041674562,-0.8378176531266327,-0.3953434673546179
Waterford,Caledonia,2,Elevated Hardship - Small Towns,18.18,154.0,62964,0.022,-0.9974490762392826,-1.8200106714843545,-2.542018301324237,-0.712411794450554,0.0112649505104961
Chittenden,Rutland,2,Elevated Hardship - Small Towns,17.2,186.0,62641,-0.007,-1.56545424659024,-1.6666944840860245,-2.1241987619572433,-0.6322658581848913,0.1593516596076604
Stramford,Bennington,2,Elevated Hardship - Small Towns,27.03,74.0,68558,-0.007,-0.0079397813444387,-1.5678356964535636,-1.3768047458039998,-0.7947126220322858,-0.026878531279969
Dorset,Bennington,2,Elevated Hardship - Small Towns,26.79,168.0,68558,-0.023,-0.0982486549463727,-1.3910340403193768,-1.412219339456896,-0.5650464317384293,-0.2589494412440549
Peacham,Caledonia,2,Elevated Hardship - Small Towns,16.67,66.0,62964,-0.078,-1.2094000103347142,-2.033647622151701,-2.6976541645219005,-1.0031843798217062,0.2116666114830783
Townshend,Windham,2,Elevated Hardship - Small Towns,18.73,347.0,65473,-0.218,-1.253299433474126,0.3922779162150872,-3.0072848159122887,-0.2411960644223275,0.627970422910452
Killington,Rutland,2,Elevated Hardship - Small Towns,12.61,111.0,62641,-0.312,-2.190112971064897,-1.9857318407856743,-2.359483801533995,-0.8254427245641258,0.4531500697284026
Rutland Town,Rutland,2,Elevated Hardship - Small Towns,11.39,360.0,62641,-0.392,-2.529488275911929,-1.535937998665368,-2.5117403411202024,-0.2373720643055214,-0.1625172551564919
Craftsbury Common,Orleans,2,Elevated Hardship - Small Towns,13.04,207.0,63981,-0.431,-1.9508070351632787,-2.5707103136182377,-2.712593641254699,3.688136156085206,-0.4195521985646289
