town,county,total_enrollment,num_schools,single_school_town,avg_school_enrollment,enrollment_category,num_elementary,num_middle,num_high,num_combined,weighted_frpl_rate,free_lunch_rate,reduced_lunch_rate,elementary_frpl_rate,middle_frpl_rate,high_frpl_rate,school_frpl_variance,school_frpl_range,min_school_frpl_rate,max_school_frpl_rate,county_poverty_rate,county_median_income,county_snap_rate,frpl_vs_county_poverty,frpl_above_county_avg,county_income_zscore,frpl_zscore,hardship_score,high_frpl_flag,very_high_frpl_flag,low_confidence_flag
Danby,Rutland,76.0,1,1,76.0,small,1,0,0,0,48.68,47.37,1.32,48.68421052631579,,,0.0,0.0,48.7,48.7,11.4,62641,10.6,37.28,1,-1.021,1.059,2.08,0,0,0
Danville,Caledonia,350.0,1,1,350.0,medium,0,0,0,1,23.43,16.57,6.86,,,,0.0,0.0,23.4,23.4,11.8,62964,14.1,11.63,1,-0.985,-0.615,0.37,0,0,0
Derby,Orleans,263.0,1,1,263.0,medium,0,1,0,0,62.74,54.75,7.98,,62.737642585551335,,0.0,0.0,62.7,62.7,9.8,63981,13.7,52.94,1,-0.873,1.991,2.864,1,0,0
Derby Line,Orleans,496.0,1,1,496.0,medium,1,0,0,0,46.77,33.87,12.9,46.774193548387096,,,0.0,0.0,46.8,46.8,9.8,63981,13.7,36.97,1,-0.873,0.932,1.805,0,0,0
Dorset,Bennington,168.0,1,1,168.0,small,1,0,0,0,26.79,22.02,4.76,26.785714285714285,,,0.0,0.0,26.8,26.8,11.2,68558,14.9,15.59,1,-0.369,-0.392,-0.023,0,0,0
Duxbury,Washington,288.0,1,1,288.0,medium,0,1,0,0,14.24,12.5,1.74,,14.23611111111111,,0.0,0.0,14.2,14.2,9.9,77278,10.3,4.34,1,0.59,-1.225,-1.815,0,0,0
East Barre,Washington,77.0,1,1,77.0,small,0,1,0,0,35.06,35.06,0.0,,35.064935064935064,,0.0,0.0,35.1,35.1,9.9,77278,10.3,25.16,1,0.59,0.156,-0.434,0,0,0
East Corinth,Orange,263.0,1,1,263.0,medium,1,0,0,0,38.02,32.7,5.32,38.02281368821293,,,0.0,0.0,38.0,38.0,9.2,74534,10.2,28.82,1,0.288,0.352,0.064,0,0,0
East Dover,Windham,90.0,1,1,90.0,small,1,0,0,0,23.33,23.33,0.0,23.333333333333332,,,0.0,0.0,23.3,23.3,12.6,65473,13.5,10.73,1,-0.709,-0.622,0.087,0,0,0
East Dummerston,Windham,162.0,1,1,162.0,small,1,0,0,0,14.81,12.96,1.85,14.814814814814813,,,0.0,0.0,14.8,14.8,12.6,65473,13.5,2.21,1,-0.709,-1.187,-0.478,0,0,0
